title,imdbid,imdbscore,imdbvotes,releaseyear
VeggieTales in the City,tt6562134,5.7,110,2017
Requiem,tt6712390,6.4,6421,2018
Wormwood,tt1149367,7,4181,2017
Perfume,tt10163260,7.1,8536,2018
Evil Genius,tt8342862,7.5,27516,2018
Explained,tt8005374,8,8831,2018
Cells at Work,tt8673610,7.5,2206,2018
SheRa and the Princesses of Power,tt7745956,7.8,14935,2018
Stranger,tt5545948,8.5,7645,2017
The Rain,tt6656238,7.3,616,2018
The Innocent Man,tt0914376,7.3,5883,2018
Rascal Does Not Dream of Bunny Girl Senpai,tt8993398,8.1,10400,2018
Dirty Money,tt7889220,8.1,9099,2018
Tidelands,tt6898970,6.8,7727,2018
Hilda,tt6385540,8.5,10162,2018
Friends from College,tt5565334,6.9,20242,2017
My Little Pony Equestria Girls,tt13160278,6.4,642,2017
Insatiable,tt6487482,6.5,27275,2018
Better Than Us,tt8285216,7.3,8711,2018
Cable Girls,tt5674718,7.6,13855,2017
Sick Note,tt5770788,6.8,7173,2017
MEGALOBOX,tt7965802,7.8,3144,2018
Transformers Cyberverse,tt8891990,6.5,350,2018
Wanderlust,tt7608238,7,5225,2018
Jack Whitehall Travels with My Father,tt7453996,7.6,5388,2017
Teasing Master Takagisan,tt7808344,7.7,2030,2018
The Boss Baby Back in Business,tt7741824,6.4,3595,2018
My Next Guest Needs No Introduction With David Letterman,tt7829834,7.9,5194,2018
Scissor Seven,tt11503082,8.5,297,2018
Damnation,tt6106704,7.6,8111,2017
The Magic School Bus Rides Again,tt3869122,6.2,812,2017
Cathedral of the Sea,tt4944694,7.4,4292,2018
Haunted,tt9077192,4.6,3150,2018
Dave Chappelle,tt6963504,8.7,2753,2017
Salt Fat Acid Heat,tt8772088,7.7,2419,2018
Great News,tt4955480,7,6810,2017
Dark Tourist,tt8725166,7.5,7158,2018
Abstract The Art of Design,tt6333098,8.4,5306,2017
Bakugan Battle Planet,tt9527662,5.1,220,2018
Kakegurui,tt7131720,7.2,8547,2017
Numberblocks,tt7978538,8.6,198,2017
Dogs,tt0262158,8,1269,2018
The Forest,tt6560040,7.2,10137,2017
Zoids Wild,tt12317724,6,25,2018
Mr Sunshine,tt7094780,8.7,6855,2018
Hotel Transylvania The Series,tt4858114,5.5,694,2017
My Mister,tt7923710,9.2,5481,2018
Magic for Humans,tt8425308,7.1,3316,2018
Bill Nye Saves the World,tt6026278,3.5,7233,2017
Unit 42,tt6136644,7,2311,2017
Innocent,tt6478854,8.4,17727,2017
Black Earth Rising,tt7660730,7.4,4790,2018
I Am a Killer,tt8300324,7.4,3937,2018
Nailed It,tt6987788,7.4,4682,2018
Aggretsuko,tt8019444,8,6005,2018
Immortals,tt8063174,5.4,3087,2018
On My Block,tt7879820,7.9,15642,2018
Sunderland Til I Die,tt8914684,8.1,7943,2018
Gypsy,tt5503718,6.8,16133,2017
Alexa and Katie,tt6916746,7.4,4687,2018
Bitter Daisies,tt9412454,7.2,3274,2018
Life Sentence,tt6088922,6.4,3855,2018
Cry Babies Magic Tears,tt11067738,4.8,36,2018
Shes Gotta Have It,tt0196291,6.8,4624,2017
The Toys That Made Us,tt7053920,8,5545,2017
The Standups,tt15250768,6.6,1225,2017
Baby,tt7645192,6.8,10990,2018
Unsolved The Murders of Tupac and The Notorious BIG,tt6233618,7.8,7651,2018
Disjointed,tt5884792,6.8,9980,2017
Spirit Riding Free,tt11942070,6.6,993,2017
White Gold,tt6010920,7.4,10981,2017
Voice,tt6212854,7.5,1949,2017
The Good Cop,tt7183074,6.9,5620,2018
Record of Grancrest War,tt7897050,7.1,893,2018
Hitlers Circle of Evil,tt6600720,8,4241,2018
Rotten,tt7763662,7.2,3675,2018
Because This Is My First Life,tt7278588,8.2,4168,2017
Abby Hatcher,tt9433014,6.1,163,2018
Unauthorized Living,tt6970700,7.4,4555,2018
LEGO Friends Girls on a Mission,tt9327146,7.7,106,2018
Tabula Rasa,tt5197860,8,10161,2017
Murder Mountain,tt9078908,6.8,3045,2018
Nicky Jam El Ganador,tt7949200,7.7,1129,2018
SKY Castle,tt9151274,8.6,2835,2018
Sisters,tt8453436,7.5,1729,2017
Suburra Blood on Rome,tt7197684,7.9,14346,2017
Norm Macdonald Has a Show,tt8139862,8.6,3473,2018
Just Between Lovers,tt7521898,8.2,1872,2017
The Epic Tales of Captain Underpants,tt7741830,6.7,879,2018
Ugly Delicious,tt7907916,7.8,3505,2018
The House of Flowers,tt8387348,7.6,7722,2018
Somewhere Between,tt6467294,6.2,5746,2017
Hot Date,tt7603386,7.1,616,2017
Lawless Lawyer,tt8160178,7.7,1572,2018
Welcome to the Family,tt7490342,6.6,442,2018
Llama Llama,tt4781350,6.5,270,2018
Borderliner,tt0332902,6.8,3999,2017
A Korean Odyssey,tt7099334,8,4535,2017
Power Rangers Ninja Steel,tt5335606,6.1,862,2017
Cloudy with a Chance of Meatballs,tt4123482,3.4,750,2017
Man Like Mobeen,tt7639280,8,2664,2017
Granblue Fantasy The Animation,tt6138612,6.4,391,2017
Meteor Garden,tt8690890,7.9,3921,2018
Wolf,tt7146600,8.1,7426,2018
Fallet,tt6433844,6.8,1873,2017
The Hollow,tt6193336,7.1,4198,2018
The Mire,tt8855592,7,4312,2018
GHOUL,tt5909930,8,6,2018
Transformers Rescue Bots Academy,tt9557874,6,100,2018
Hero Mask,tt9316078,6.1,657,2018
The Fix,tt5960546,7,1895,2018
The Beauty Inside,tt8801708,7.6,1889,2018
Fate/Apocrypha,tt6424454,6.6,2259,2017
The Casketeers,tt8365054,7.5,450,2018
The Guest,tt8801670,8.1,1537,2018
Rainbow Rangers,tt7967882,5.8,187,2018
The Mechanism,tt6873658,8,36077,2018
Mob Psycho 100,tt7701694,5.2,509,2018
Memories of the Alhambra,tt8236556,7.8,5363,2018
Barbie Dreamhouse Adventures,tt7661472,6.7,525,2018
Ad Vitam,tt8548830,6.4,1625,2018
Patriot Act with Hasan Minhaj,tt8080054,8.2,7222,2018
Signs,tt8917248,6.4,1608,2018
B The Beginning,tt7944664,7.1,4803,2018
Sugar Rush,tt8680560,7,1508,2018
El Chapo,tt6692188,7.8,17992,2017
Sacred Games,tt10810630,8.6,85088,2018
The Worst Witch,tt5721172,7.2,2375,2017
The Confession Tapes,tt7349602,7.5,5340,2017
Thieves of the Wood,tt5766086,6.8,2533,2018
Girl from Nowhere,tt8824648,7.6,3979,2018
Afflicted,tt8792570,5.1,1119,2018
Dope,tt7782022,7.3,1643,2017
Paradise PD,tt8235236,6.8,17779,2018
Thus Spoke Kishibe Rohan,tt13887556,7.6,1131,2017
Welcome to Waikiki,tt7890304,8.3,2038,2018
The Inmate,tt8452308,6.9,2641,2018
The Innocents,tt8021824,6.2,5784,2018
Charitao,tt5337806,7.8,3274,2017
Instant Hotel,tt9316032,7.3,1482,2018
Myths and Monsters,tt11279458,7.8,811,2017
Erased,tt7573686,7.8,3596,2017
The Hook Up Plan,tt9170638,7.2,5212,2018
Kiss Me First,tt5730690,6.2,3874,2018
November 13 Attack on Paris,tt8194716,8.3,3105,2018
Life,tt8243158,7.6,688,2018
The Bride of Habaek,tt6385752,7.1,2501,2017
The New Legends of Monkey,tt6807662,6.4,4308,2018
Medal of Honor,tt7440274,8.2,1687,2018
True and the Rainbow Kingdom,tt5607658,7.1,439,2017
Something in the Rain,tt8078816,8.2,5654,2018
The Velvet Collection,tt6762348,7.3,1376,2017
The Indian Detective,tt5797220,6.6,3078,2017
Bonus Family,tt0869654,2.3,15,2017
Serial Killer with Piers Morgan,tt7667038,3.8,1394,2017
My Shy Boss,tt6257622,7.3,1537,2017
Gormiti,tt9077350,5.3,111,2018
Selection Day,tt10656928,7.4,2176,2018
The Protector,tt7668518,6.5,34396,2018
The Queen of Flow,tt8560918,7.7,1202,2018
Cupcake and Dino  General Services,tt8697554,7.5,663,2018
Daniel Sloss Live Shows,tt8858472,8.5,3387,2018
Warrior,tt9249090,6.7,1966,2018
Surviving Escobar  Alias JJ,tt6809396,7.7,985,2017
Bangkok Love Stories 2 Innocence,tt10438662,6.7,199,2018
Children of the Whales,tt7484994,7.1,1524,2017
Dogs of Berlin,tt6839788,7.5,12453,2018
Free Rein,tt6928052,7,2062,2017
Luis Miguel The Series,tt8045690,8,4556,2018
Cyborg 009 Call of Justice,tt6921524,5.7,217,2017
Cocaine Coast,tt6970710,7.9,3696,2018
Bumping Mics with Jeff Ross and Dave Attell,tt9203078,7.7,1145,2018
Ultraviolet,tt7514746,7,1573,2017
Hot Girls Wanted Turned On,tt6333104,6.6,2168,2017
7 Days Out,tt9315990,6.8,531,2018
Greenhouse Academy,tt6076336,6.6,5967,2017
Hi Score Girl,tt8963328,8,1952,2018
Samurai Gourmet,tt6304676,8.1,2053,2017
Final Fantasy XIV Dad of Light,tt6497076,7.2,592,2017
Car Masters Rust to Riches,tt8893550,8.4,10024,2018
Sparta,tt6840106,6.6,443,2018
Re Mind,tt7332652,4.9,1531,2017
Lego Jurassic World The Secret Exhibit,tt9322614,6.2,244,2018
Ingobernable,tt6495756,7.2,3052,2017
If I Hadnt Met You,tt8517780,7.7,2283,2018
Creeped Out,tt7573024,6.5,1826,2017
Girlboss,tt5706996,7,17525,2017
Spy Kids Mission Critical,tt6714408,5.2,372,2018
The Royal House of Windsor,tt6596634,7.3,1541,2017
When Heroes Fly,tt8220344,7.1,3123,2018
Flint Town,tt8004578,7.9,3633,2018
AICO Incarnation,tt8116380,6.3,1189,2018
Eternal Love,tt6488862,8.4,2214,2017
Polly Pocket,tt8673042,5.9,119,2018
Pop Team Epic,tt7808370,6.9,815,2018
Sirius the Jaeger,tt8565136,6.7,1883,2018
Misty,tt7890244,8.1,596,2018
Standup and Away with Brian Regan,tt9384194,5.7,390,2018
A Love So Beautiful,tt8434720,8,1386,2017
The A List,tt9185110,5.5,2787,2018
The Big Family Cooking Showdown,tt7518558,7,665,2017
QB1 Beyond the Lights,tt5771332,7.7,895,2017
Fugitiva,tt7158972,5.6,658,2018
Amazing Interiors,tt8747342,6.6,797,2018
Secret Agent Selection WW2,tt8268994,7.8,551,2018
The Piano Forest,tt8043492,7.1,883,2018
Bobby Kennedy for President,tt8200004,8.1,1759,2018
Chip and Potato,tt9897038,6.4,155,2018
Falsa identidad,tt8598690,7,351,2018
Diablero,tt7414954,6.8,2521,2018
Super Drags,tt8912244,5.4,1685,2018
Chosen,tt7317178,5.2,127,2018
Bad Guys Vile City,tt12404980,6,29,2017
The Yard,tt7923832,7.2,1605,2018
Kakegurui,tt7691766,6.8,966,2018
Last Hope,tt8893554,5.8,427,2018
The Platform,tt8254954,6.2,7,2018
Busted,tt8328460,7.6,898,2018
3Below Tales of Arcadia,tt7736544,7.7,5927,2018
Familiar Wife,tt15062636,7.6,937,2018
Ultimate Beastmaster,tt5706758,7.3,2359,2017
The Worlds Most Extraordinary Homes,tt7804132,7.6,3380,2017
Fate/Extra Last Encore,tt7940468,5.4,772,2018
Live,tt12094726,8.3,1208,2018
My Secret Romance,tt6300100,7.2,3108,2017
The Comedy Lineup,tt8687584,5.9,457,2018
FIGHTWORLD,tt9047526,7.6,806,2018
Prison Playbook,tt7622902,8.5,3060,2017
First Team Juventus,tt7924812,7.3,2061,2018
The Final Table,tt5545584,7.6,3989,2018
Switched,tt8747882,7.1,1402,2018
Trump An American Dream,tt7596008,7.2,4003,2017
Undercover Law,tt8888710,7.2,214,2018
Apaches,tt6818948,7,293,2018
Marlon,tt5722376,7,4056,2017
My Sassy Girl,tt6175760,6.9,561,2017
Wild District,tt8105958,8.2,1898,2018
Million Yen Women,tt6686450,7.6,1794,2017
My ID is Gangnam Beauty,tt8585954,7.4,3774,2018
Champions,tt6470396,6.1,3736,2018
100 Days My Prince,tt8199972,7.8,1938,2018
Girls Incarcerated,tt8092942,7.3,1073,2018
Brainchild,tt9203042,8.1,415,2018
The Who Was? Show,tt7488702,6.8,604,2018
Cleo and Cuquin,tt7956374,8,98,2018
Back Street Girls Goku Dolls,tt8693818,6.6,815,2018
Edgar Rice Burroughs Tarzan and Jane,tt6216718,4.8,270,2017
Empire Games,tt8171234,5.8,306,2018
Age of Tanks,tt8107992,7.3,852,2017
Robot Trains,tt7216288,6,87,2017
My Dead Ex,tt7428106,7.4,478,2018
Crazy Delicious,tt7626160,8.9,15,2017
Becoming Champions,tt8796068,6.7,389,2018
Inside the Criminal Mind,tt6775794,5.4,986,2018
Live Up To Your Name,tt7094874,8,1224,2017
Fastest Car,tt8295694,7.1,1324,2018
Terrorism Close Calls,tt6775816,5.1,688,2018
13 Reasons Why Beyond the Reasons,tt8615966,6.2,322,2017
Stay Here,tt8773338,7.4,1095,2018
Kantaro The Sweet Tooth Salaryman,tt6983520,7.6,791,2017
SWORDGAI The Animation,tt7415066,5.8,907,2018
Beyond Stranger Things,tt7570990,7.4,1883,2017
44 Cats,tt9699148,6.1,283,2018
Dragon Pilot Hisone and Masotan,tt8528256,6.9,494,2018
Nailed It Holiday,tt8760264,7.7,1086,2018
Terrace House Opening New Doors,tt7776244,7.8,952,2017
ReBoot The Guardian Code,tt6849940,3.8,1189,2018
Neo Yokio,tt7343832,5.9,3359,2017
Black,tt6380900,8,3665,2017
Super Monsters,tt6214876,6.3,411,2017
Shot in the Dark,tt10478382,8,1770,2017
Time The Kalief Browder Story,tt6133034,8.5,2641,2017
Love and Fortune,tt8649316,7.3,547,2018
Drug Lords,tt7935522,6.8,1305,2018
Follow This,tt8560884,4.9,710,2018
Paprika,tt12740488,7.5,26,2018
Victim Number 8,tt8500086,7,1994,2018
The Rise of Phoenixes,tt7052634,8.4,1477,2018
Unrequited Love,tt6917420,6.7,10,2017
Al Hayba,tt8585236,7.5,1201,2017
Hymn of Death,tt8160064,7.6,1104,2018
The Degenerates,tt9077196,6.2,666,2018
Motown Magic,tt8959860,7.9,292,2018
Titipo Titipo,tt12987396,6.6,19,2018
Blood Pact,tt6742610,6.7,140,2018
Lost Song,tt7211600,7,375,2018
Rapture,tt7981052,5.4,11,2018
Larva Island,tt9077194,6.6,416,2018
Zac and Mia,tt7487358,7.8,622,2017
Move,tt9165300,7.5,112,2018
AMO,tt7218736,6.6,410,2018
Clean with Passion for Now,tt7981562,7,1246,2018
Love Daily,tt7975182,6.2,153,2018
Theyve Gotta Have Us,tt9268756,7.7,292,2018
72 Dangerous Animals Asia,tt8728268,6.6,517,2018
Prince of Peoria,tt8001718,5.7,471,2018
Black Crows,tt7356518,5.4,295,2017
Yummy Mummies,tt7172230,4,673,2017
Ponysitters Club,tt7692572,6,116,2018
Ashes of Love,tt8976346,8.5,1875,2018
72 Dangerous Animals Latin America,tt7909708,6.5,559,2017
Vai Anitta,tt8961530,5.6,448,2018
Dancing Queen,tt8882486,6.9,1590,2018
Accidentally In Love,tt9077184,7.6,1100,2018
The Joel McHale Show with Joel McHale,tt7895706,7.1,2378,2018
The Day I Met El Chapo The Kate del Castillo Story,tt7334894,6.8,1073,2017
Mariposa de barrio,tt6834120,7.6,238,2017
BestWorstWeekendEver,tt7768010,6.4,297,2018
Treehouse Detectives,tt8591984,7.6,93,2018
Samantha,tt6626676,6.6,513,2018
On Children,tt8507402,7.2,380,2018
Legend Quest,tt5038900,7.3,446,2017
The Curious Creations of Christine McConnell,tt8773080,7.7,2391,2018
Paul Hollywoods Big Continental Road Trip,tt7936386,7.4,206,2017
Heidi bienvenida a casa,tt7183310,6.2,20,2017
Westside,tt8693758,6,168,2018
Boca Juniors Confidential,tt8893546,6.3,350,2018
The Judgement,tt8866904,7.1,95,2018
My Only Love Song,tt6125832,7,647,2017
Borges,tt7895652,6.2,168,2018
Stretch Armstrong and the Flex Fighters,tt1379164,6.2,307,2017
Made in Mexico,tt8871764,3.9,760,2018
Dinotrux Supercharged,tt7620702,7.5,94,2017
Revolutionary Love,tt7340800,6.9,666,2017
Dennis and Gnasher Unleashed,tt7081512,7.3,82,2017
The Unknown Hitman The Story of El Cholo Adrián,tt6524440,6.7,144,2017
Death by Magic,tt8887956,6.1,629,2018
Ainori Love Wagon Asian Journey,tt11542960,6.8,271,2017
Little Singham,tt11151836,3.5,91,2018
Million Pound Menu,tt8488494,6.5,563,2018
Take My Brother Away,tt8894324,6.7,161,2018
A Taiwanese Tale of Two Cities,tt8893498,6.1,159,2018
Fire Chasers,tt7293754,6.6,368,2017
Jimmy The True Story of a True Idiot,tt6866914,6.8,77,2018
Smoking,tt8758778,7.4,456,2018
Here to Heart,tt8791742,7.5,219,2018
LEGO Elves Secrets of Elvendale,tt7322926,6.9,163,2017
Edha,tt7956274,4.9,632,2018
Wrong Kind of Black,tt8660874,7.7,148,2018
Monkey Twins,tt8507498,7.9,92,2018
Baby Ballroom,tt8159960,7.8,198,2017
Age of Rebellion,tt8931836,8.6,49,2018
All About the Washingtons,tt7661368,4.8,708,2018
PartTime Idol,tt8835780,6.7,108,2017
The Single Wives,tt8694342,6.5,73,2018
The Honeymoon Stand Up Special,tt7698408,6.8,515,2018
A Boy Named Flora A,tt6284014,7.9,314,2017
Strongest Deliveryman,tt7022748,7.4,626,2017
The CouldveGoneAlltheWay Committee,tt8499662,6.8,102,2018
The Many Faces of Ito,tt7134506,6.7,244,2017
A House of Blocks,tt7053684,2.3,137,2017
First and Last,tt8893502,6.7,421,2018
Running Man,tt11256118,8.4,32,2017
Julies Greenroom,tt5779222,8.2,328,2017
All Hail King Julien Exiled,tt6865906,7.5,559,2017
Justice Qalb Al Adala,tt5338544,5.6,155,2017
REA(L)OVE,tt8477194,6.6,210,2018
Droppin Cash Los Angeles,tt7983796,3.4,116,2018
Argon,tt7094798,7.3,261,2017
Buddy Thunderstruck,tt6591468,7.8,489,2017
Blazing Transfer Students,tt7931520,7,116,2017
Club de Cuervos Presents The Ballad of Hugo Sanchez,tt8498114,6.4,816,2018
Regiment Diaries,tt9642576,8.6,80,2018
Robozuna,tt8454808,6.6,92,2018
Check The Store Next Door,tt9545904,7.8,129,2018
Battlefish,tt8893566,7,426,2018
A Little Help with Carol Burnett,tt7204366,6.3,233,2018
The Hollywood Masters,tt7178034,7.2,86,2017
Kulipari Dream Walker,tt9203064,7.7,91,2018
ID0,tt7161218,6.2,320,2017
Harvey Street Kids,tt7758552,6.8,249,2018
Life Plan A and B,tt7034962,7.8,106,2017
Highland Thailands Marijuana Awakening,tt7201224,6.2,24,2017
The Break with Michelle Wolf,tt8010342,5.1,1862,2018
Ask the Doctor,tt7188736,6.5,289,2017
Kibaoh Klashers,tt7492122,6.3,17,2017
The Sound of Your Heart Reboot,tt7885558,5.9,134,2018
Luo Bao Bei,tt7192414,8,38,2018
Memories of Love,tt8246636,5.9,16,2018
We Speak Dance,tt7737500,7.5,148,2018
YG Future Strategy Office,tt8129694,6.9,204,2018
What She Put on the Table,tt7073222,7.3,30,2017
Learning Songs by Little Baby Bum Nursery Rhyme Friends,tt11456582,4.2,9,2017
Luna Petunia Return to Amazia,tt7924854,4.8,48,2018
Russian Doll,tt7520794,7.8,88945,2019
Bridgerton,tt8740790,7.3,122036,2020
Demon Slayer Kimetsu no Yaiba,tt9335498,8.7,88265,2019
Sex Education,tt7767422,8.3,251168,2019
After Life,tt8398600,8.5,124972,2019
Love Death and Robots,tt9561862,8.4,131937,2019
The Umbrella Academy,tt1312171,8,202522,2019
The Witcher,tt5180504,8.2,465949,2019
Space Force,tt9612516,6.7,61739,2020
Formula 1 Drive to Survive,tt8289930,8.6,36661,2019
The Queens Gambit,tt10048342,8.6,406350,2020
Selling Sunset,tt9817298,6.5,5482,2019
Dead to Me,tt9889712,8,73110,2019
I Think You Should Leave with Tim Robinson,tt10050772,7.9,11411,2019
The Last Dance,tt8420184,9.1,108321,2020
The Stranger,tt9698480,7.3,46564,2020
Emily in Paris,tt8962124,6.9,84302,2020
Unbelievable,tt7909970,8.4,95658,2019
ULTRAMAN,tt8699270,6.8,2025,2019
Jurassic World Camp Cretaceous,tt10436228,7.5,7423,2020
Virgin River,tt9077530,7.4,34797,2019
Outer Banks,tt10293938,7.5,43404,2020
Locke and Key,tt3007572,7.4,72031,2020
The Circle,tt9581768,7.3,6380,2020
Are You Afraid of the Dark,tt10473306,7.1,2151,2019
In the Dark,tt7772602,7.7,10927,2019
Young Wallander,tt9359220,6.8,11039,2020
Tuca and Bertie,tt8036272,7.3,6724,2019
Feel Good,tt10098620,7.5,10317,2020
Love Is Blind,tt11704040,6.1,7655,2020
Into the Night,tt10919486,7.1,30746,2020
Criminal UK,tt9348692,7.6,17992,2019
Never Have I Ever,tt10062292,7.8,45346,2020
The Daily Life of the Immortal King,tt11755260,7.2,1211,2020
The Cursed,tt11841276,7.1,395,2020
Get Organized with The Home Edit,tt10834478,5.3,1454,2020
Sweet Magnolias,tt9077540,7.3,17435,2020
Alice in Borderland,tt10795658,7.6,47651,2020
Raising Dion,tt7826108,7.1,14464,2019
Kingdom,tt6611916,8.3,43760,2019
Black Summer,tt8923854,6.5,28657,2019
The Promised Neverland,tt8788458,8.4,34730,2019
Dracula,tt9165388,6.8,45971,2020
The Dark Crystal Age of Resistance,tt6905542,8.4,24164,2019
When They See Us,tt7137906,8.9,114127,2019
Cocomelon,tt12427840,4.9,522,2019
Another Life,tt8369840,5.2,35108,2019
Living with Yourself,tt8880894,7.2,30134,2019
The Movies That Made Us,tt10681222,7.6,6147,2019
Giri and Haji,tt8001106,7.8,13570,2019
Dont Fuck with Cats Hunting an Internet Killer,tt11318602,8,50250,2019
The Valhalla Murders,tt9100822,7.1,13038,2019
Barbarians,tt9184986,7.2,23180,2020
Marianne,tt10875696,7.4,14518,2019
The Haunting of Bly Manor,tt10970552,7.3,96015,2020
Roswell New Mexico,tt7588054,6.2,11928,2019
Hollywood,tt9827854,7.5,35067,2020
Cursed,tt8210856,5.8,29446,2020
To the Lake,tt9151230,7.2,12456,2019
Pokemon Journeys The Series,tt14033496,6.9,472,2020
The Defeated,tt8879894,7,5597,2020
Conversations with a Killer The Ted Bundy Tapes,tt9425132,7.8,27439,2019
I Am Not Okay with This,tt9446688,7.5,56459,2020
Tiger King,tt11823076,7.5,76961,2020
Unorthodox,tt7607544,8,74118,2020
Warrior Nun,tt9059350,6.8,29164,2020
Ragnarok,tt9251798,7.5,36185,2020
The Order,tt8295472,6.7,27286,2019
Love on the Spectrum,tt11904786,8.6,5210,2019
Away,tt8787802,6.6,23706,2020
The Pharmacist,tt11600174,7.7,6989,2020
Ghost in the Shell SAC_2045,tt9466298,6.2,2020,2020
The Politician,tt7971476,7.5,21887,2019
The Society,tt8778064,7,27693,2019
The Untamed,tt10554898,8.8,5963,2019
Our Planet,tt9253866,9.3,41386,2019
The Family,tt10780886,6.4,3491,2019
The Spy,tt5952634,7.9,40535,2019
Daybreak,tt12374132,6.7,19398,2019
The Comey Rule,tt9174536,7.4,8598,2020
Merli Dare to Know,tt9415632,7.6,1711,2019
Too Hot to Handle,tt12004280,4.6,12001,2020
Ratched,tt7423538,7.2,52731,2020
DC Super Hero Girls,tt6927444,7.2,1193,2019
Dark Desire,tt12540080,6.5,7135,2020
Unsolved Mysteries,tt9642938,7.3,9391,2020
WHAT  IF,tt8860450,6.3,15135,2019
Its Okay to Not Be Okay,tt12451520,8.6,21104,2020
Trinkets,tt9134194,7,10263,2019
Messiah,tt7671598,7.6,42018,2020
BEASTARS,tt11043632,7.7,9440,2019
Dorohedoro,tt11147852,8.1,7813,2020
Undercover,tt7263154,7.8,16773,2019
Bonding,tt7718088,7.1,15871,2019
Cheer,tt11426660,8.1,6145,2020
Wu Assassins,tt8652642,6.4,12799,2019
Greatest Events of WWII in Colour,tt9103932,8.7,8508,2019
Lego Jurassic World Legend of Isla Nublar,tt10872880,6.7,272,2019
Green Eggs and Ham,tt4651448,8.1,2556,2019
Stateless,tt4878488,7.5,9218,2020
Caliphate,tt11398870,8.2,17735,2020
Down to Earth with Zac Efron,tt12585152,8,6446,2020
Jeffrey Epstein Filthy Rich,tt12312250,7.1,23216,2020
Summertime,tt11269886,6,2573,2020
LAs Finest,tt7555294,6.1,7000,2019
Holiday Secrets,tt11243536,6.5,1134,2019
Almost Happy,tt12146940,6.8,870,2020
Interior Design Masters,tt8367694,6.4,1356,2019
Dash and Lily,tt11127506,7.5,16978,2020
Dare Me,tt2983222,6.6,5098,2019
The Gift,tt10075318,7,21582,2019
October Faction,tt8826128,6.1,10854,2020
Deaf U,tt13070478,6.4,462,2020
Blown Away,tt9908860,7.1,2876,2019
Medical Police,tt9850952,5.9,4136,2020
Selena The Series,tt9421868,6.9,4435,2020
White Lines,tt9073958,6.6,16506,2020
The Devil Next Door,tt11165002,7.6,13084,2019
StartUp,tt12867810,8.1,9021,2020
Toy Boy,tt8693266,6.5,7371,2019
Middleditch and Schwartz,tt12027034,8.6,5147,2020
The Twelve,tt7605396,7.5,5005,2019
The Ripper,tt13492374,7.1,9228,2020
Teenage Bounty Hunters,tt10584608,7.6,10821,2020
GREAT PRETENDER,tt11680468,7.9,4635,2020
Northern Rescue,tt8462412,7.1,4105,2019
High Score,tt12759400,7.4,7733,2020
Kipo and the Age of Wonderbeasts,tt10482560,8.3,5293,2020
Unabomber In His Own Words,tt11833494,7.2,3338,2020
Garth Brooks The Road Im On,tt10095402,7.4,285,2019
Ares,tt8404520,5.7,4298,2020
The Confession Killer,tt11307176,7.4,8733,2019
Traitors,tt7371896,6.6,3020,2019
Valeria,tt9731288,6.5,5510,2020
Tidying Up with Marie Kondo,tt8115560,6.6,3529,2019
Aunty Donnas Big Ol House of Fun,tt13316746,8,6140,2020
Tales of the City,tt7087260,7.4,7715,2019
Historical Roasts,tt9169602,5.3,1675,2019
La Revolution,tt13044528,6.6,5512,2020
Challenger The Final Flight,tt12930534,7.8,6778,2020
Grand Army,tt10473150,7.5,6279,2020
The ILand,tt9070436,4.6,16918,2019
Killer Inside The Mind of Aaron Hernandez,tt11475228,7.4,16649,2020
Skylines,tt9184970,7.5,2627,2019
Inside Bills Brain Decoding Bill Gates,tt10837476,7.9,10776,2019
Song Exploder,tt13110256,7.4,758,2020
Chambers,tt7949204,6.4,8380,2019
The Mind Explained,tt10810430,8,5230,2019
The Chef Show,tt10359446,8.2,5025,2019
Rise of Empires Ottoman,tt9244578,7.9,22045,2020
The Last Czars,tt7949606,7.3,8096,2019
Darwins Game,tt11405390,7.3,2284,2020
How to Sell Drugs Online ,tt9184994,7.9,30734,2019
Biohackers,tt9849210,6.8,9346,2020
Fear City New York vs The Mafia,tt12588372,7.1,7215,2020
Gentefied,tt10037034,7.3,2641,2020
Hotel Del Luna,tt10220588,8.2,7832,2019
The Baker and the Beauty,tt9164986,7.5,4160,2020
Her Private Life,tt9899340,7.7,3665,2019
Control Z,tt11937662,6.9,8235,2020
Power Rangers Beast Morphers,tt8022978,6.5,585,2019
Capitani,tt10483610,6.6,4355,2019
Home for Christmas,tt10069398,7.7,13670,2019
Quicksand,tt8686106,7.5,21077,2019
Sex Explained,tt11390530,6.9,3177,2020
Rainbow High,tt13488080,6.4,116,2020
JuOn Origins,tt12313914,6.1,4467,2020
Special,tt9381622,7.6,9202,2019
Exhibit A,tt10376904,6.3,1030,2019
Itaewon Class,tt11239552,8.2,12030,2020
Turn Up Charlie,tt8304498,7.1,7251,2019
The Disappearance of Madeleine McCann,tt9879074,6.6,10286,2019
Floor is Lava,tt12370124,5.3,2135,2020
Detention,tt13175760,6.3,496,2020
Kengan Ashura,tt9058134,8,4719,2019
Abyss,tt10055734,7.1,2131,2019
The Trials of Gabriel Fernandez,tt11822998,8.1,10982,2020
Gameboys,tt12508898,8.5,1066,2020
Black Space,tt13660638,6.7,1758,2020
Spinning Out,tt9117054,7.6,13692,2020
Dolly Partons Heartstrings,tt8509922,7.6,2107,2019
The Bonfire of Destiny,tt9050352,7.6,4442,2019
Indian Matchmaking,tt12580168,6.2,3049,2020
High Seas,tt8961508,6.8,7154,2019
